Product ID,Web Traffic,Cart Status,Stock Status,Units Sold,Present Price,Customer Ratings
1,6525,purchased,out of product,169,161,4.4
2,4518,purchased,in stock,359,384,1.5
3,2877,incart,in stock,162,154,2.3
4,9917,incart,out of product,116,397,2.2
5,7714,purchased,out of product,80,324,4.1
6,3204,purchased,out of product,12,565,1.5
7,7372,incart,out of product,418,414,1.3
8,4869,purchased,in stock,102,793,4.5
9,8756,purchased,in stock,187,321,4.2
10,7142,purchased,out of product,265,168,1.8
11,1871,purchased,in stock,189,913,2.3
12,2899,incart,out of product,38,810,3.5
13,7956,incart,out of product,33,803,2.3
14,5363,purchased,in stock,121,737,5.0
15,9174,purchased,out of product,362,705,3.5
16,3591,purchased,in stock,204,391,2.7
17,10000,incart,out of product,299,96,1.4
18,5803,purchased,in stock,45,32,3.4
19,612,incart,in stock,447,996,2.4
20,2713,incart,out of product,434,365,1.3
21,7196,purchased,in stock,5,532,1.5
22,4019,incart,out of product,110,669,2.9
23,2837,incart,in stock,259,677,4.6
24,4415,purchased,in stock,468,366,4.2
25,920,purchased,out of product,324,852,1.5
26,5783,incart,out of product,71,492,3.5
27,3711,incart,out of product,134,212,3.8
28,8751,incart,in stock,121,612,2.3
29,7152,purchased,out of product,443,228,3.8
30,1837,incart,out of product,132,495,3.9
31,6224,incart,in stock,217,442,1.5
32,3262,incart,out of product,27,74,3.4
33,1671,purchased,out of product,239,593,1.2
34,3807,incart,out of product,226,126,2.6
35,2740,incart,out of product,458,295,2.7
36,4121,purchased,out of product,5,917,4.3
37,6164,incart,out of product,306,210,2.3
38,1799,incart,out of product,110,67,3.3
39,9830,purchased,out of product,338,505,1.3
40,225,purchased,out of product,403,479,3.2
41,8870,purchased,out of product,413,577,4.4
42,7390,incart,in stock,114,797,2.6
43,7091,incart,in stock,49,924,2.4
44,8462,purchased,out of product,249,874,3.5
45,7486,incart,out of product,74,893,1.9
46,2917,incart,in stock,18,119,3.9
47,9097,purchased,in stock,165,988,3.6
48,4077,purchased,in stock,404,420,3.5
49,4245,incart,in stock,438,145,3.0
50,4645,incart,in stock,107,257,3.9
51,1553,purchased,out of product,79,939,2.4
52,6386,incart,out of product,150,72,3.1
53,3981,incart,out of product,411,142,1.4
54,3412,purchased,in stock,120,832,5.0
55,2181,purchased,out of product,277,164,3.8
56,3654,incart,out of product,339,241,2.9
57,1400,incart,out of product,97,637,1.1
58,5591,incart,out of product,94,458,1.7
59,2414,purchased,in stock,7,314,4.9
60,1380,purchased,in stock,263,291,3.5
61,2516,purchased,in stock,215,829,3.0
62,9566,purchased,out of product,318,360,3.8
63,4969,incart,out of product,224,232,2.6
64,5551,incart,out of product,472,585,3.7
65,2447,purchased,out of product,253,683,3.9
66,3436,incart,out of product,100,381,4.1
67,9284,purchased,in stock,321,22,1.7
68,9972,incart,out of product,177,637,2.9
69,8671,purchased,out of product,113,605,4.1
70,1430,incart,in stock,482,314,1.6
71,2512,incart,in stock,208,293,1.9
72,587,purchased,out of product,196,862,3.0
73,9387,purchased,in stock,278,700,1.9
74,9965,purchased,out of product,70,814,2.0
75,9219,purchased,out of product,85,678,3.4
76,6389,incart,in stock,32,457,4.9
77,7989,incart,out of product,459,983,3.6
78,2200,incart,out of product,446,586,2.2
79,6313,purchased,out of product,17,992,3.6
80,7117,purchased,in stock,64,750,4.2
81,3863,purchased,in stock,164,491,1.6
82,5262,purchased,in stock,74,632,2.2
83,7352,incart,in stock,363,929,2.4
84,751,purchased,out of product,175,422,1.3
85,2749,incart,out of product,206,651,2.3
86,8699,purchased,in stock,100,608,2.2
87,6434,incart,out of product,327,800,4.3
